name,id,text,person_type,extraversion,active,assertive,cheerful,openness,adventurous,artistic,emotionally_aware,imaginative,intellectual,conscientiousness,cautious,disciplined,dutiful,neuroticism,melancholy,self_conscious,authority_challenging,achievement_striving,orderliness,self_efficacy,stress_prone,agreeableness,cooperative,trusting,excitement_seeking,outgoing,gregariousness,altruism,modesty,uncompromising,sympathy,fiery,prone_to_worry,immoderation
Albert Einstein,1,"""Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world. Try not to become a man of success, but rather try to become a man of value. The important thing is not to stop questioning. Curiosity has its own reason for existing.""
",real,0.66443964,0.811618523,1,0.755594234,0.789983063,0.742801839,0.875299517,0.744667234,0.969896115,0.876454657,0.669957775,0.349086425,0.790505998,0.260554311,0.372236054,0.32338456,0.302568625,0.948081141,0.833979847,0.31141169,0.750911234,0.209197412,0.379642999,0.778322393,0.827415843,0.783520523,0.842362417,0.736120759,0.289986966,0.312761955,0.842104852,0.765444144,0.344325375,0,0.949361161
Aristotle,2,"""Knowing yourself is the beginning of all wisdom. Educating the mind without educating the heart is no education at all. We are what we repeatedly do. Excellence, then, is not an act, but a habit.""",real,0.632171026,0.283057503,0.744699676,0.718686801,0.74533167,0.668422206,0.233938924,0.708911959,0.156431172,0.894145207,0.602526291,0.723119186,1,0.775035392,0.591908791,0.176756101,0.766482405,0,0.831763179,0.207757517,0.709855737,0.221122084,0.340838614,0.844200822,0.983863085,0.226026358,0.740646488,0.245458069,0.678837468,0.74782594,0.827962788,0.7798554,0.174834839,0.085032695,0.746865309
Arthur Conan Doyle,3,"""When the spirits are low, when the day appears dark, when work becomes monotonous, when hope hardly seems worth having, just mount a bicycle and go out for a spin down the road, without thought on anything but the ride you are taking.""",real,0.279732008,0.250092426,0.185511141,0.739763208,0.369606579,0.238911081,0.168513693,0.677021434,1,0.727157143,0.279479526,0.261607409,0.784668933,0.185880847,0.704451798,0.775327099,0.94171273,0.77687806,0.217089424,0.205448201,0.242067106,0.768609275,0.363817528,0.257125853,0,0.731160786,0.263564144,0.141407948,0.240164474,0.280327145,0.731386216,0.746976979,0.098558148,0.259885121,0.168468607
Carl Jung,4,"""Until you make the unconscious conscious, it will direct your life and you will call it fate. I am not what happened to me, I am what I choose to become. Your visions will become clear only when you can look into your own heart. Who looks outside, dreams; who looks inside, awakes.""",real,0.262781277,0.082181812,0.063229218,0.698561576,0.566168326,0.700186777,0.269524649,0.678784253,0.8730726,0.72899569,0.766876622,0.241556635,0.675574278,0.092749662,0.608124389,0.796017044,1,0.222814266,0.041293046,0.198711159,0.161824753,0.805250774,0.320213136,0.804062194,0.148451208,0.196172287,0.253790115,0.119715064,0.137980384,0.112510814,0.807110457,0.705911366,0.13588622,0,0.820112066
Charlotte Brontë,5,"""Imagination is a strong, restless faculty, which claims to be heard and exercised: are we to be quite deaf to her cry, and insensate to her struggles? Life appears to me too short to be spent in nursing animosity, or registering wrongs. I can live alone, if self-respect, and circumstances require me so to do.""",real,0.659996637,0.778186481,0.843944426,0.769032706,0.756347738,0.287056499,0.790219859,0.774529174,0.889608206,0.895504036,0.312457962,0.165934505,0.80913696,0.049121406,0.669318564,0.878468135,0.848589625,1,0.161299815,0.117895578,0.161888347,0.120480915,0.306551623,0.126071969,0.071464604,0.731608374,0.160753321,0.241077434,0.06671431,0.197620649,0.986936691,0.175119808,0.182497478,0,0.982606777
Fyodor Dostoevsky,6,"""Man is a mystery: if you spend your entire life trying to puzzle it out, then do not say that you have wasted your time. I occupy myself with this mystery, because I want to be a man. I want to say to you, about myself, that I am a child of this age, a child of unfaith and skepticism, and probably (indeed I know it) shall remain so to the end of my life. How dreadfully has it tormented me (and torments me even now) this longing for faith, which is all the stronger for the proofs I have against it.""",real,0.271759585,0.167784615,0,0.101850676,0.662895275,0.266321854,0.160488126,0.765288569,0.823556577,0.793989633,0.623815186,0.739589226,0.145571885,0.828751862,0.60731727,0.88267892,0.848701756,0.861078079,0.032441668,0.180622741,0.140976944,0.730491705,0.305182585,0.851772747,0.055808906,0.180114758,0.802105822,0.168927578,0.191809922,0.170867151,0.862775206,0.908851611,0.137040073,0.800847409,1
Jane Austen,7,"""There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves; it is not my nature. I do not want people to be very agreeable, as it saves me the trouble of liking them a great deal. Life seems but a quick succession of busy nothings.""",real,0.805540997,0.831252376,0.06645703,0.802437546,0.336991707,0.822753851,0.076969716,0.927305238,0.07101972,0.080586984,0.309327825,0.785419942,0.081892078,0,0.326828416,0.750089918,0.782460359,0.049675782,0.2054444,0.156703764,0.112751899,0.759061154,0.682862164,0.897421669,1,0.203584384,0.115906732,0.809507661,0.829721203,0.161872758,0.843306512,0.827193226,0.168233807,0.223016925,0.91959799
Plato,8,"""The first and greatest victory is to conquer yourself; to be conquered by yourself is of all things most shameful and vile. I am the wisest man alive, for I know one thing, and that is that I know nothing. At the touch of love, everyone becomes a poet.""",real,0.775834567,0.753770476,0.917818425,0.783896079,0.653202159,0.729738765,0.693777162,0.304608625,0.753627203,0.806437748,0.689354792,0.660728784,0.896929175,0.782224557,0.30635656,0.234356942,0.195892832,1,0.809866756,0.212359712,0.900558766,0.139452696,0.333425665,0.763971536,0.934696022,0.753197383,0.816476432,0.148154162,0.718085868,0.757266345,0.834462009,0.163150103,0.105143512,0,0.878542433
Richard Dawkins,9,"""We are going to die, and that makes us the lucky ones. Most people are never going to die because they are never going to be born. Faith is the great cop-out, the great excuse to evade the need to think and evaluate evidence. Faith is belief in spite of, even perhaps because of, the lack of evidence.""",real,0.296122258,0.135432509,0.08236923,0.768006797,0.624455889,0.696105476,0.179643168,0.720565561,0.064968166,0.129044777,0.24446449,0.750647689,0.077670208,0.07699892,0.192995521,0.84280305,0.737001647,0.132159977,0.160826105,0.007877154,0.128237133,0.04268977,0.644961663,0.790820126,0.853879315,0.173140058,0.19130681,0.071240521,0.872969089,0,1,0.731012492,0.143425041,0.802053724,0.77984875
Sigmund Freud,10,"""Being entirely honest with oneself is a good exercise. The mind is like an iceberg; it floats with one-seventh of its bulk above water. Words have a magical power. They can either bring the greatest happiness or the deepest despair.""",real,0.535174897,0.607007283,0.631518923,0.661977223,0.561706773,0.635803777,0.58013327,0.566977305,0.619503413,0.670946089,0.247592825,0.56252953,0.778205901,1,0.246566415,0.133205168,0.727178677,0.083269522,0.62032617,0.171109011,0.671231203,0.558668274,0.258247935,0.665064599,0.688574268,0.546123267,0.71034067,0.562806497,0.576288307,0.176843872,0.646255234,0.705542612,0,0.141701559,0.651354698
Suzanne Collins,11,"""If we introduce kids to these ideas at an age-appropriate time, you can get them to think about these issues before they are in a situation where they have to deal with them. I was flipping through images of reality television, where there were these young people competing for a million dollars... and then I saw footage from the Iraq war, and these two things began to fuse together in a very unsettling way.""",real,0.698187443,0.811839347,0.999035993,0.049254016,0.685061259,0.784656601,0.819372051,0.707793882,0.896727982,0.932878233,0.265718353,0.238681329,0.818564975,0,0.676721481,0.858302227,0.782257793,1,0.84143211,0.143659414,0.181973075,0.757473854,0.304895136,0.198540539,0.084316956,0.163813879,0.09256706,0.757821345,0.953963076,0.004674311,0.891437155,0.130432346,0.834045129,0.859591306,0.878423064
Tobias_2023,12,,real,0.28,0.42,0.35,0.31,0.62,0.39,0.67,0.56,0.66,0.7,0.71,0.74,0.62,0.65,0.45,0.62,0.57,0.36,0.6,0.76,0.56,0.38,0.54,0.58,0.34,0.39,0.36,0.25,0.53,0.71,0.42,0.47,0.36,0.55,0.2
Tobias_2025,13,"I definitely prefer planning things far ahead as it gives me a sense control and security. However, it can feel like a waste of time if the plans goes sideways early on. I usually make decision based on logic and to the limits of my knowledge. However, when I have insufficient knowledge I have no problem going with my intuition.",real,0.207162457,0.893180348,0.268733408,0.260055473,0.282363789,0.181463277,0.366741276,0.779578968,0.835818232,1,0.681206731,0.764238283,0.229678983,0.174324616,0.642970278,0.770826672,0.359989292,0.243160642,0.7702764,0.878598145,0.778240469,0.35882926,0.333182133,0.382862752,0.79213855,0.046550019,0.36239859,0.343087025,0.331077715,0,0.813495044,0.380929364,0.261617055,0.282854572,0.971549461
William Shakespeare,14,"""This above all: to thine own self be true. A fool thinks himself to be wise, but a wise man knows himself to be a fool. Love looks not with the eyes, but with the mind; and therefore is winged Cupid painted blind.""",real,0.298671522,0.270888125,0.809966957,0.844956311,0.349720143,0.699209079,0.188000347,0.76410123,0.824253634,0.868982592,0.242362937,0.851709488,0.85574598,0.048794351,0.733649316,0.846825236,0.906563394,0.140178993,0.159812337,0.133772627,0.255782588,0.874868742,0.339903471,0.94288219,0.94094583,0.223124573,0.166045297,0.148646956,0.165149369,0,1,0.184782713,0.191391386,0.002601081,0.921139081
Elizabeth Bennet,15,"""I am only resolved to act in that manner, which will, in my own opinion, constitute my happiness, without reference to you, or to any person so wholly unconnected with me. How despicably have I acted!... I, who have prided myself on my discernment!... Till this moment I never knew myself.""",fictional,0.290980114,0.148457792,0.074096997,0.769318182,0.256321023,0.229180195,0.007163149,0.685917208,0.102150974,0.069500812,0.289224838,0.261931818,0.879636769,0,0.645322646,0.833928571,0.884730114,0.115503247,0.137144886,0.148488231,0.097575081,0.826450893,0.341710633,0.908015422,0.810663555,0.174391234,0.028743912,0.181371753,0.169480519,0.105905032,0.837591315,0.125527597,0.185440341,0.178500406,1
Frodo Baggins,16,"""I wish the Ring had never come to me. I wish none of this had happened. It is useless to meet revenge with revenge: it will heal nothing. I feel that as long as the Shire lies behind, safe and comfortable, I shall find wandering more bearable.""",fictional,0.386558464,0.14194869,0.012936543,0.375190931,0.441432268,0.359843722,0.211920323,0.370161785,0.991063914,0.280281383,0.408420703,0.898398778,0.067238853,0.181236297,0.767381207,0.289269423,0.974334729,0.981545943,0,0.203212835,0.050281071,0.956202787,0.496586623,0.133646443,0.149097559,0.322883654,0.07631002,0.307952078,0.222176041,0.309437962,0.89347354,0.91731003,0.254013446,1,0.965211609
Hamlet,17,"""To be, or not to be: that is the question. Frailty, thy name is woman! Thus conscience does make cowards of us all.""",fictional,0.63419451,0.217176251,0.817330652,0.246449667,0.260462486,0.274690748,0.017630478,0.706098853,0.041805059,0.193639024,0.246880554,0.690299646,0.179617228,0.095190219,0.720470745,0.757751486,0.7857861,0.768523672,0.22155694,0.010161762,0.169186161,0.955762222,0.35154132,0.880545432,0.852932728,0.198926372,0,0.143718918,0.234609239,0.104220902,1,0.201457836,0.752455161,0.775292196,0.841801469
Harry Potter,18,"""Everyone thinks I'm special ... All those people in the Leaky Cauldron, Professor Quirrell, Mr. Ollivander ... But I don't know anything about magic at all. I knew I could do it this time, because I'd already done it. Does that make sense? Be brave, Professor. Be brave like my mother ... Otherwise, you disgrace her. Otherwise, she died for nothing. Otherwise, the bowl will remain empty ... forever.""",fictional,0.205985311,0.12993342,0,0.782940948,0.65287025,0.615141739,0.188974306,0.628423365,0.081245567,0.822820143,0.211750978,0.207243691,0.073054659,0.043494177,0.582778502,0.798636374,0.685565241,1,0.722264168,0.093806484,0.101391082,0.166632347,0.275539387,0.129109754,0.762886952,0.666357792,0.127897133,0.69551788,0.095007665,0.117761457,0.701661061,0.11446679,0.79082298,0.728853502,0.832658384
Jack Sparrow,19,"""Me? I'm dishonest, and a dishonest man you can always trust to be dishonest. Honestly. It's the honest ones you want to watch out for, because you can never predict when they're going to do something incredibly... stupid. It's not just a keel and a hull and a deck and sails, that's what a ship needs but what a ship is... what the Black Pearl really is... is freedom. The problem is not the problem. The problem is your attitude about the problem.""",fictional,0.266141056,0.840720537,0.185887429,0.087997474,0.373634083,0.246399944,0.127620016,0.686229456,0.147440058,0.280330802,0.188465789,0.851928508,0,1,0.697288338,0.772534334,0.786004946,0.800826127,0.757546524,0.251346184,0.186071598,0.808184098,0.63336432,0.86037395,0.915913914,0.069694631,0.009217196,0.763518847,0.231508603,0.220546191,0.081498956,0.244277621,0.831599811,0.86413625,0.774542648
Jane Eyre,20,"""I am no bird; and no net ensnares me: I am a free human being with an independent will. I care for myself. The more solitary, the more friendless, the more unsustained I am, the more I will respect myself. I would always rather be happy than dignified.""",fictional,0.273609416,0.191119159,0.101484077,0.871107743,0.744390426,0.297022005,0,0.355883163,0.157382986,0.016149667,0.374532536,0.788292721,0.957495178,0.110764477,0.729392198,0.185598158,0.947624296,0.222906743,0.132897689,0.077057828,0.185076566,0.830108649,0.418946581,1,0.176170137,0.173207889,0.020834153,0.094221155,0.154528993,0.289198126,0.91531512,0.880171633,0.008867063,0.214915561,0.942339487
Katniss Everdeen,21,"""I want to do something, right here, right now, to shame them, to make them accountable, to show the Capitol that whatever they do or force us to do, there is a part of every tribute they can't own. That Rue was more than a piece in their Games. And so am I. What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again.""",fictional,0.247277401,0.189518579,0.09137649,0.225706941,0.672026174,0.944484693,0.295548025,0.822598738,0.887847628,0.785931292,0.800584249,0.783325543,0,0.9,0.719128301,0.987263379,0.946272494,0.896564618,0.86308717,0.196155644,0.227553167,0.879644777,0.686854405,0.967375555,0.082624445,0.241341435,0.188677261,0.845980369,0.919829399,1,0.927716756,0.879738257,0.855211498,0.955118018,0.154627249
Pinocchio,22,"""I have reached the conclusion that, in order to come by money honestly, one must work and know how to earn it with hand or brain. Woe to those who lead idle lives. Idleness is a dreadful illness and must be cured in childhood. If it is not cured then, it can never be cured.""",fictional,0.398041973,0.051283654,0.967234286,0.282362131,0.794167578,0.248461178,0.188949643,0.380586367,0.128823621,0.259032443,0.354173827,0.840712389,0.117617039,0.165817841,0.765619955,0.971608603,0.958048222,0.252783419,0,0.089454773,0.107056189,0.836785919,0.403489038,0.954913295,0.083903557,0.2860803,0.313628079,0.293256262,0.239650055,0.851117013,0.294464407,0.858813727,0.151393012,0.288496589,1
Rodion Raskolnikov,23,"""Pain and suffering are always inevitable for a large intelligence and a deep heart. The really great men must, I think, have great sadness on earth. To go wrong in one's own way is better than to go right in someone else's. The man who has a conscience suffers whilst acknowledging his sin. That is his punishment—as well as prison.""",fictional,0.327155934,0.158122815,0.076687448,0.178294713,0.34842697,0.682943529,0.160726513,0.831327255,0.041839346,0.783577787,0.248459404,0.774541425,0.175402717,0.119959278,0.649771163,0.782091247,0.782604779,0.189448268,0.236765289,0.185583264,0.196232297,0.820407943,0.657438106,0.785379653,0,0.232639014,0.000315327,0.187177916,0.763135608,0.14345562,1,0.295641284,0.771171934,0.204638005,0.773613464
Sherlock Holmes,24,"""My name is Sherlock Holmes. It is my business to know what other people do not know. It has long been an axiom of mine that the little things are infinitely the most important. It is a capital mistake to theorize before you have all the evidence. It biases the judgment.""",fictional,0.241060863,0.955217301,0.189340325,0.072093185,0.722289254,0.196104137,0.145300137,0.82586955,0.173550363,0.873309047,0.708773232,0.89739425,0.101085922,0.056291621,0.734401466,0.880502123,0.934102142,0.937165,0.217103279,0.234703112,0.241675755,0.91564378,0.363180732,0.927442745,0.154442305,0,0.868111469,0.242464673,0.211418428,0.052973525,0.894203773,0.169640578,0.237441121,1,0.891918231
Simba,25,"""You said you'd always be there for me! But you're not. And it's because of me. It's my fault. I finally got some sense knocked into me. And I've got the bump to prove it. I can't go back. What would it prove, anyway? It won't change anything. You can't change the past.""",fictional,0.357231913,0.205958563,0.097813242,0.133872524,0.374188232,0.805045697,0.184578857,0.735832692,0.146231989,0.248338519,0.327243948,0.785411494,0.162657068,1,0.358391969,0.880687793,0.868230753,0.979997181,0.256794996,0.191951169,0.192829342,0.160477899,0.373288377,0.080694298,0.901351952,0.258995848,0.130826024,0.233095179,0.269674859,0,0.195550592,0.881219034,0.874204495,0.877034162,0.953901363